"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-04-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-05-31",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-06-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-18",,,,
